sepal.length,sepal.width,petal.length,petal.width,variety
6.4,2.9,4.3,1.3,Versicolor
6.6,3,4.4,1.4,Versicolor
6.8,2.8,4.8,1.4,Versicolor
6.7,3,5,1.7,Versicolor
6,2.9,4.5,1.5,Versicolor
5.7,2.6,3.5,1,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.5,2.4,3.7,1,Versicolor
5.8,2.7,3.9,1.2,Versicolor
6,2.7,5.1,1.6,Versicolor
5.4,3,4.5,1.5,Versicolor
6,3.4,4.5,1.6,Versicolor
6.7,3.1,4.7,1.5,Versicolor
6.3,2.3,4.4,1.3,Versicolor
5.6,3,4.1,1.3,Orchid
5.5,2.5,4,1.3,Orchid
5.5,2.6,4.4,1.2,Orchid
6.1,3,4.6,1.4,Orchid
5.8,2.6,4,1.2,Orchid
5,2.3,3.3,1,Orchid
5.6,2.7,4.2,1.3,Orchid
5.7,3,4.2,1.2,Orchid
5.7,2.9,4.2,1.3,Orchid
6.2,2.9,4.3,1.3,Orchid
5.1,2.5,3,1.1,Orchid
5.7,2.8,4.1,1.3,Orchid
6.3,3.3,6,2.5,Virginica
5.8,2.7,5.1,1.9,Virginica
7.1,3,5.9,2.1,Virginica
6.3,2.9,5.6,1.8,Virginica
6.5,3,5.8,2.2,Virginica
7.6,3,6.6,2.1,Virginica
4.9,2.5,4.5,1.7,Virginica
7.3,2.9,6.3,1.8,Virginica
6.7,2.5,5.8,1.8,Virginica
7.2,3.6,6.1,2.5,Virginica
6.5,3.2,5.1,2,Virginica
6.4,2.7,5.3,1.9,Virginica
6.8,3,5.5,2.1,Virginica
5.7,2.5,5,2,Virginica
5.8,2.8,5.1,2.4,Virginica
6.4,3.2,5.3,2.3,Virginica
6.5,3,5.5,1.8,Virginica
7.7,3.8,6.7,2.2,Virginica
7.7,2.6,6.9,2.3,Virginica
6,2.2,5,1.5,Virginica
6.9,3.2,5.7,2.3,Virginica
5.6,2.8,4.9,2,Virginica
7.7,2.8,6.7,2,Virginica
6.3,2.7,4.9,1.8,Virginica
6.7,3.3,5.7,2.1,Virginica
7.2,3.2,6,1.8,Virginica
6.2,2.8,4.8,1.8,Virginica
6.1,3,4.9,1.8,Virginica
6.4,2.8,5.6,2.1,Virginica
7.2,3,5.8,1.6,Virginica
7.4,2.8,6.1,1.9,Sunflower
7.9,3.8,6.4,2,Sunflower
6.4,2.8,5.6,2.2,Sunflower
6.3,2.8,5.1,1.5,Sunflower
6.1,2.6,5.6,1.4,Sunflower
7.7,3,6.1,2.3,Sunflower
6.3,3.4,5.6,2.4,Sunflower
6.4,3.1,5.5,1.8,Sunflower
6,3,4.8,1.8,Sunflower
6.9,3.1,5.4,2.1,Sunflower
6.7,3.1,5.6,2.4,Sunflower
6.9,3.1,5.1,2.3,Sunflower
5.8,2.7,5.1,1.9,Virginica
6.8,3.2,5.9,2.3,Virginica
6.7,3.3,5.7,2.5,Virginica
6.7,3,5.2,2.3,Virginica
6.3,2.5,5,1.9,Virginica
6.5,3,5.2,2,Virginica
6.2,3.4,5.4,2.3,Virginica
5.9,3,5.1,1.8,Virginica
6.9,3.1,4.9,1.5,poppy
6.3,3.3,6,2.5,poppy
5.8,2.7,5.1,1.9,poppy
7.1,3,5.9,2.1,poppy
6.3,2.9,5.6,1.8,poppy
6.5,3,5.8,2.2,poppy
7.6,3,6.6,2.1,poppy
4.9,2.5,4.5,1.7,poppy
7.3,2.9,6.3,1.8,poppy
6.7,2.5,5.8,1.8,poppy
7.2,3.6,6.1,2.5,poppy
6.5,3.2,5.1,2,poppy
6.4,2.7,5.3,1.9,poppy
6.8,3,5.5,2.1,poppy
5.7,2.5,5,2,poppy
5.9,3,5.1,1.8,Rose
6,2.7,5.1,1.6,Rose
5.5,2.5,4,1.3,Rose
5.5,2.6,4.4,1.2,Rose
6.1,3,4.6,1.4,Rose
5.8,2.6,4,1.2,Rose
5,2.3,3.3,1,Rose
5.6,2.7,4.2,1.3,Rose
5.7,3,4.2,1.2,Rose
5.7,2.9,4.2,1.3,Rose
6.2,2.9,4.3,1.3,Rose
5.1,2.5,3,1.1,Rose
5.7,2.8,4.1,1.3,Rose
6.3,3.3,6.1,2.5,Rose
6.5,3,5.8,2.2,Rose
7.6,3,6.6,2.1,Rose
4.9,2.5,4.5,1.7,Dahlia
7.3,2.9,6.3,1.8,Dahlia
6.7,2.5,5.8,1.8,Dahlia
7.2,3.6,6.1,2.5,Dahlia
6.5,3.2,5.1,2,Dahlia
6.4,2.7,5.3,1.9,Dahlia
6.8,3,5.5,2.1,Dahlia
5.7,2.5,5,2,Dahlia
5.6,2.5,3.9,1.1,Dahlia
6.4,3.2,5.3,2.3,Dahlia
6.2,2.8,4.8,1.8,Dahlia
6.3,2.8,5.1,1.5,Dahlia
6.3,2.7,4.9,1.8,Dahlia
4.2,2.9,1.3,0.2,Daisy
4.4,3,1.2,0.2,Daffodil
4.5,2.8,1.3,0.3,Daffodil
4.1,3,1.1,0.1,Daffodil
4.3,3,1.2,0.2,Daffodil
4.6,3.2,1.4,0.2,Daffodil
4.2,2.8,1.2,0.2,Daffodil
4,2.9,1.3,0.2,Daffodil
4.1,2.7,1.1,0.1,Daffodil
4.3,2.8,1.3,0.2,Daffodil
4,2.7,1,0.1,Daffodil
4.1,3,1.2,0.2,Daffodil
4.4,3.2,1.3,0.2,Daffodil
4.3,3.1,1.1,0.1,Daisy
4.5,2.8,1.2,0.3,Daisy
3.9,2.9,1.1,0.2,Daisy
4,3,1.2,0.2,Daisy
4.5,3.1,1.5,0.4,Daisy
4.4,3,1.3,0.4,Daisy
4.1,2.8,1.3,0.3,Daisy
4.3,3,1.2,0.2,Daisy
4.6,3.2,1.4,0.3,Daisy
4.2,3.1,1.5,0.2,Daisy
4,2.8,1.3,0.4,Daisy
4.5,3,1.5,0.3,Daisy
4.4,3.2,1.4,0.2,Daisy
4.2,2.9,1.6,0.4,Daisy
4.3,3.1,1.5,0.1,Daisy
4.1,2.8,1.3,0.2,Daisy
4.2,3,1.4,0.2,Daisy
5,3.5,1.4,0.2,Freesia
4.9,3,1.3,0.2,Freesia
4.7,3.2,1.6,0.2,Freesia
4.6,3.1,1.5,0.2,Freesia
5,3.6,1.4,0.2,Freesia
5.4,3.9,1.7,0.4,Freesia
4.6,3.4,1.4,0.3,Freesia
5,3.4,1.5,0.2,Freesia
4.4,2.9,1.4,0.2,Freesia
4.9,3.1,1.5,0.1,Freesia
5.4,3.7,1.5,0.2,Freesia
4.8,3.4,1.6,0.2,Freesia
4.8,3,1.4,0.1,Freesia
4.3,3,1.1,0.1,Freesia
5.8,4,1.2,0.2,Freesia
5.7,4.4,1.5,0.4,Freesia
5.4,3.9,1.3,0.4,Freesia
5.1,3.5,1.4,0.3,Freesia
5.7,3.8,1.7,0.3,Freesia
5.1,3.8,1.5,0.3,Freesia
5.4,3.4,1.7,0.2,Freesia
5.1,3.7,1.5,0.4,Freesia
4.6,3.6,1,0.2,Freesia
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
